Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2020-09-26 22:18:57,GUN,NORMAL,30/30/30/30,HG,12,C96,★★★
2020-09-26 22:19:02,EQUIP,NORMAL,10/10/10/10,HOLO,5,EOT 506,★★
2020-09-26 22:19:02,EQUIP,NORMAL,10/10/10/10,OPTICAL,3,PSO-1,★★★★
2020-09-26 22:19:02,EQUIP,NORMAL,10/10/10/10,HOLO,5,EOT 506,★★
2020-09-26 23:37:07,GUN,NORMAL,30/30/30/30,HG,6,Tokarev,★★★
2020-09-26 23:37:07,GUN,NORMAL,30/30/30/30,HG,90,FF FNP9,★★
2020-09-26 23:37:11,EQUIP,NORMAL,10/10/10/10,REDDOT,9,AMP COMPM2,★★
2020-09-27 22:37:25,GUN,NORMAL,30/30/30/30,HG,10,PPK,★★
2020-09-27 22:37:25,GUN,NORMAL,30/30/30/30,HG,10,PPK,★★
2020-09-27 22:37:59,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,13,PEQ-2,★★
2020-09-27 22:37:59,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,14,PEQ-5,★★★
2020-09-27 22:37:59,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,15,PEQ-15,★★★★
2020-09-27 23:12:31,GUN,NORMAL,30/30/30/30,HG,5,M1895,★★
2020-09-27 23:12:31,GUN,NORMAL,30/30/30/30,HG,5,M1895,★★
2020-09-27 23:12:36,EQUIP,NORMAL,10/10/10/10,HOLO,6,EOT 512,★★★
2020-09-27 23:57:41,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,★★★
2020-09-27 23:57:41,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,★★★
2020-09-27 23:57:41,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,15,PEQ-15,★★★★
2020-09-28 03:15:02,EQUIP,HEAVY-1,500/500/500/500,FAIRY,9,Airstrike Fairy,★
2020-09-28 03:15:02,EQUIP,HEAVY-1,500/500/500/500,HOLO,7,EOT 516,★★★★
2020-09-28 03:15:02,EQUIP,HEAVY-1,500/500/500/500,FAIRY,4,Shield Fairy,★
2020-09-28 04:21:03,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,★★★
2020-09-28 07:14:40,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,★★★
2020-09-28 07:14:40,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,★★★
